Chromosome	GenBank	RefSeq
1	CM000663.2	NC_000001.11
2	CM000664.2	NC_000002.12
3	CM000665.2	NC_000003.12
4	CM000666.2	NC_000004.12
5	CM000667.2	NC_000005.10
6	CM000668.2	NC_000006.12
7	CM000669.2	NC_000007.14
8	CM000670.2	NC_000008.11
9	CM000671.2	NC_000009.12
10	CM000672.2	NC_000010.11
11	CM000673.2	NC_000011.10
12	CM000674.2	NC_000012.12
13	CM000675.2	NC_000013.11
14	CM000676.2	NC_000014.9
15	CM000677.2	NC_000015.10
16	CM000678.2	NC_000016.10
17	CM000679.2	NC_000017.11
18	CM000680.2	NC_000018.10
19	CM000681.2	NC_000019.10
20	CM000682.2	NC_000020.11
21	CM000683.2	NC_000021.9
22	CM000684.2	NC_000022.11
X	CM000685.2	NC_000023.11
XY	CM000686.2	NC_000024.10
MT	J01415.2	NC_012920.1
